,,,,,,,,,,,,,
,,,,,,,,,,,,,
County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**,,,
ADAMS," 2,331 "," $21,416 "," $13,072 ", $- , $686 , $- , $- , $147 ," $7,511 ",928,,,
ANTELOPE, 603 ," $5,160 "," $2,816 ", $- , $96 , $- , $- , $108 ," $2,140 ",238,,,
ARTHUR, 28 , $70 , $20 , $- , $- , $- , $- , $0 , $50 ,10,,,
BANNER, 47 , $89 , $49 , $- , $- , $- , $- , $2 , $38 ,14,,,
BLAINE, 26 , $433 , $126 , $- , $- , $- , $- , $- , $307 ,21,,,
BOONE, 527 ," $4,264 "," $2,524 ", $- , $42 , $- , $- , $34 ," $1,663 ",241,,,
BOX BUTTE, 996 ," $5,859 "," $2,456 ", $- , $431 , $- , $- , $38 ," $2,934 ",399,,,
BOYD, 185 ," $1,620 ", $800 , $- , $9 , $- , $- , $0 , $811 ,104,,,
BROWN, 247 ," $2,986 "," $1,750 ", $- , $18 , $- , $- , $41 ," $1,178 ",144,,,
BUFFALO," 2,904 "," $22,257 "," $13,503 ", $- ," $1,167 ", $- , $- , $201 ," $7,387 ","1,081",,,
BURT, 684 ," $4,048 "," $1,829 ", $- , $188 , $- , $- , $80 ," $1,952 ",187,,,
BUTLER, 691 ," $4,388 "," $2,590 ", $- , $64 , $- , $- , $43 ," $1,691 ",241,,,
CASS," 3,067 "," $22,299 "," $13,444 ", $- ," $1,323 ", $- , $- , $422 ," $7,110 ",827,,,
CEDAR, 714 ," $4,408 "," $2,377 ", $- , $153 , $- , $- , $153 ," $1,725 ",244,,,
CHASE, 278 ," $1,536 ", $947 , $- , $26 , $- , $- , $3 , $560 ,110,,,
CHERRY, 467 ," $3,139 "," $1,352 ", $- , $102 , $- , $- , $67 ," $1,618 ",204,,,
CHEYENNE, 773 ," $5,588 "," $2,516 ", $- , $76 , $- , $- , $114 ," $2,883 ",314,,,
CLAY, 528 ," $4,039 "," $2,676 ", $- , $111 , $- , $- , $35 ," $1,216 ",216,,,
COLFAX, 635 ," $1,934 "," $1,036 ", $- , $35 , $- , $- , $45 , $818 ,152,,,
CUMING, 684 ," $3,266 "," $2,002 ", $- , $97 , $- , $- , $44 ," $1,124 ",217,,,
CUSTER, 870 ," $7,573 "," $4,773 ", $- , $116 , $- , $- , $130 ," $2,555 ",368,,,
DAKOTA," 1,248 "," $7,143 "," $4,020 ", $- , $343 , $- , $- , $57 ," $2,723 ",407,,,
DAWES, 721 ," $7,324 "," $2,825 ", $- , $267 , $- , $- , $18 ," $4,214 ",357,,,
DAWSON," 1,552 "," $8,293 "," $4,517 ", $- , $208 , $- , $- , $21 ," $3,546 ",506,,,
DEUEL, 219 ," $1,076 ", $447 , $- , $2 , $- , $- , $0 , $627 ,72,,,
DIXON, 509 ," $2,282 "," $1,290 ", $- , $88 , $- , $- , $2 , $902 ,150,,,
DODGE," 3,315 "," $21,345 "," $10,942 ", $- , $787 , $- , $- , $97 ," $9,520 ",921,,,
