,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**,,,,
ATLANTIC," 17,514 "," $73,394 "," $42,088 ", $- ," $6,994 ", $- , $- ," $2,375 "," $21,937 ","3,013",,,,
BERGEN," 34,121 "," $146,146 "," $71,834 ", $- ," $18,959 ", $- , $- ," $6,158 "," $49,195 ","6,594",,,,
BURLINGTON," 33,936 "," $211,862 "," $131,280 ", $212 ," $27,783 ", $- ," $3,697 "," $4,191 "," $44,699 ","6,033",,,,
CAMDEN," 30,593 "," $157,292 "," $89,360 ", $- ," $13,751 ", $- , $- ," $2,665 "," $51,516 ","5,681",,,,
CAPE MAY," 8,843 "," $34,289 "," $23,002 ", $- ," $2,148 ", $- , $- , $707 ," $8,432 ","1,562",,,,
CUMBERLAND," 9,373 "," $36,900 "," $21,288 ", $- ," $2,615 ", $- , $- , $595 ," $12,402 ","1,731",,,,
ESSEX," 25,802 "," $231,483 "," $69,951 ", $343 ," $19,925 ", $- ," $13,959 "," $3,299 "," $124,006 ","6,495",,,,
GLOUCESTER," 19,972 "," $91,837 "," $55,170 ", $- ," $7,181 ", $- , $- ," $1,256 "," $28,229 ","3,767",,,,
HUDSON," 15,786 "," $83,679 "," $34,188 ", $- ," $16,651 ", $- , $- ," $1,169 "," $31,671 ","2,836",,,,
HUNTERDON," 6,969 "," $29,779 "," $13,215 ", $- ," $1,592 ", $- , $- ," $1,066 "," $13,906 ",928,,,,
MERCER," 17,332 "," $66,674 "," $37,732 ", $- ," $7,304 ", $- , $- ," $2,105 "," $19,533 ","2,130",,,,
MIDDLESEX," 32,139 "," $141,865 "," $66,268 ", $- ," $16,836 ", $- , $- ," $4,129 "," $54,632 ","5,423",,,,
MONMOUTH," 33,641 "," $138,906 "," $79,728 ", $- ," $14,180 ", $- , $- ," $3,825 "," $41,173 ","5,056",,,,
MORRIS," 23,348 "," $80,071 "," $37,355 ", $- ," $8,676 ", $- , $- ," $4,270 "," $29,770 ","3,308",,,,
OCEAN," 45,898 "," $200,947 "," $120,815 ", $- ," $13,275 ", $- , $- ," $5,536 "," $61,321 ","9,720",,,,
PASSAIC," 17,688 "," $76,638 "," $33,991 ", $- ," $10,171 ", $- , $- ," $1,773 "," $30,703 ","3,044",,,,
SALEM," 5,650 "," $22,915 "," $12,373 ", $- ," $1,388 ", $- , $- , $118 ," $9,036 ",880,,,,
SOMERSET," 13,304 "," $104,663 "," $27,570 ", $- ," $4,846 ", $- ," $1,061 "," $2,332 "," $68,854 ","2,489",,,,
SUSSEX," 9,308 "," $40,356 "," $18,874 ", $- ," $4,024 ", $- , $- , $764 ," $16,695 ","1,542",,,,
UNION," 19,584 "," $116,017 "," $45,256 ", $- ," $12,963 ", $- , $- ," $2,052 "," $55,745 ","3,870",,,,
WARREN," 7,594 "," $29,865 "," $15,718 ", $- ," $2,848 ", $- , $- , $660 ," $10,640 ","1,026",,,,
,,,,,,,,,,,,,,
NEW JERSEY (Totals),"428,396 "," $2,115,578 "," $1,047,058 ", $555 ," $214,108 ", $- ," $18,716 "," $51,045 "," $784,096 ","77,128 ",,,,
,,,,,,,,,,,,,,
