,,,,,,,,,,,,
,,,,,,,,,,,,
County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**,,
ALLEN," 1,257 "," $5,513 "," $2,611 ", $- , $125 , $- , $- , $154 ," $2,624 ",290,,
ANDERSON, 659 ," $2,918 "," $1,384 ", $- , $121 , $- , $- , $8 ," $1,405 ",177,,
ATCHISON," 1,306 "," $8,574 "," $3,557 ", $- , $421 , $- , $- , $64 ," $4,532 ",347,,
BARBER, 363 ," $1,934 ", $789 , $- , $20 , $- , $- , $113 ," $1,013 ",123,,
BARTON," 2,024 "," $8,301 "," $4,163 ", $- , $372 , $- , $- , $105 ," $3,660 ",602,,
BOURBON," 1,347 "," $5,948 "," $2,697 ", $172 , $186 , $- , $- , $254 ," $2,639 ",369,,
BROWN, 975 ," $4,747 "," $2,485 ", $- , $118 , $- , $- , $42 ," $2,103 ",221,,
BUTLER," 5,789 "," $30,459 "," $13,909 ", $- ," $1,978 ", $- , $- , $322 ," $14,250 ","1,266",,
CHASE, 281 ," $1,006 ", $530 , $- , $26 , $- , $- , $7 , $443 ,58,,
CHAUTAUQUA, 399 ," $1,976 ", $682 , $- , $24 , $- , $- , $59 ," $1,211 ",101,,
CHEROKEE," 1,790 "," $8,218 "," $4,614 ", $- , $369 , $- , $- , $102 ," $3,133 ",497,,
CHEYENNE, 205 , $644 , $381 , $- , $10 , $- , $- , $4 , $248 ,57,,
CLARK, 175 , $893 , $487 , $- , $46 , $- , $- , $2 , $357 ,57,,
CLAY," 1,023 "," $7,885 "," $4,984 ", $- , $621 , $- , $- , $3 ," $2,277 ",321,,
CLOUD, 905 ," $4,093 "," $2,240 ", $- , $195 , $- , $- , $92 ," $1,566 ",218,,
COFFEY, 709 ," $3,730 "," $1,952 ", $- , $170 , $- , $- , $2 ," $1,606 ",201,,
COMANCHE, 168 , $517 , $239 , $- , $15 , $- , $- , $14 , $249 ,44,,
COWLEY," 2,954 "," $15,859 "," $6,554 ", $- ," $1,034 ", $- , $- , $231 ," $8,040 ",763,,
CRAWFORD," 2,678 "," $13,125 "," $7,330 ", $- ," $1,444 ", $- , $- , $223 ," $4,129 ",575,,
DECATUR, 259 ," $1,237 ", $413 , $- , $52 , $- , $- , $36 , $736 ,76,,
DICKINSON," 2,259 "," $18,498 "," $10,736 ", $- ," $1,716 ", $- , $- , $70 ," $5,976 ",700,,
DONIPHAN, 654 ," $3,512 "," $1,482 ", $- , $123 , $- , $- , $50 ," $1,856 ",197,,
DOUGLAS," 6,632 "," $35,253 "," $16,122 ", $- ," $5,587 ", $- , $- , $371 ," $13,173 ","1,525",,
EDWARDS, 266 ," $1,238 ", $552 , $- , $229 , $- , $- , $2 , $456 ,89,,
ELK, 282 ," $2,109 "," $1,096 ", $- , $39 , $- , $- , $6 , $968 ,101,,
ELLIS," 1,686 "," $7,972 "," $3,533 ", $- , $692 , $- , $- , $96 ," $3,652 ",594,,
ELLSWORTH, 578 ," $3,134 "," $1,216 ", $- , $117 , $- , $- , $48 ," $1,753 ",170,,
FINNEY," 1,501 "," $5,303 "," $2,433 ", $- , $320 , $- , $- , $183 ," $2,367 ",299,,
FORD," 1,269 "," $7,441 "," $3,236 ", $- , $409 , $- , $- , $90 ," $3,706 ",488,,
FRANKLIN," 2,022 "," $11,352 "," $5,004 ", $- , $725 , $- , $- , $133 ," $5,491 ",542,,
GEARY," 5,738 "," $61,838 "," $35,603 ", $- ," $11,645 ", $- , $- , $378 ," $14,213 ","1,834",,
GOVE, 187 , $580 , $385 , $- , $25 , $- , $- , $1 , $169 ,67,,
GRAHAM, 208 , $871 , $408 , $- , $6 , $- , $- , $2 , $455 ,61,,
GRANT, 294 ," $1,351 ", $558 , $- , $130 , $- , $- , $40 , $623 ,40,,
GRAY, 245 , $882 , $406 , $- , $16 , $- , $- , $10 , $450 ,83,,
GREELEY, 89 , $172 , $107 , $- , $18 , $- , $- , $0 , $47 ,12,,
GREENWOOD, 677 ," $3,781 "," $1,881 ", $- , $58 , $- , $- , $5 ," $1,838 ",173,,
HAMILTON, 176 , $590 , $223 , $- , $5 , $- , $- , $6 , $355 ,35,,
HARPER, 486 ," $2,030 ", $564 , $- , $33 , $- , $- , $1 ," $1,432 ",105,,
HARVEY," 2,533 "," $11,807 "," $5,484 ", $- , $690 , $- , $- , $186 ," $5,447 ",528,,
HASKELL, 172 , $622 , $377 , $- , $56 , $- , $- , $0 , $189 ,35,,
HODGEMAN, 167 , $557 , $300 , $- , $9 , $- , $- , $8 , $239 ,46,,
JACKSON," 1,088 "," $7,906 "," $4,188 ", $- , $280 , $- , $- , $45 ," $3,392 ",380,,
JEFFERSON," 1,829 "," $14,626 "," $6,004 ", $- , $479 , $- , $- , $91 ," $8,051 ",556,,
JEWELL, 263 ," $1,629 ", $761 , $- , $71 , $- , $- , $2 , $794 ,97,,
JOHNSON," 35,516 "," $162,693 "," $81,842 ", $- ," $15,083 ", $- , $- ," $4,145 "," $61,623 ","6,757",,
KEARNY, 234 , $770 , $394 , $- , $7 , $- , $- , $28 , $341 ,34,,
KINGMAN, 677 ," $3,287 "," $1,092 ", $- , $71 , $- , $- , $1 ," $2,123 ",186,,
KIOWA, 201 , $789 , $346 , $- , $33 , $- , $- , $45 , $364 ,39,,
LABETTE," 1,768 "," $7,609 "," $3,789 ", $- , $262 , $- , $- , $50 ," $3,509 ",429,,
LANE, 161 , $467 , $252 , $- , $- , $- , $- , $37 , $178 ,42,,
LEAVENWORTH," 11,023 "," $134,750 "," $51,328 ", $566 ," $9,518 ", $- ," $9,437 ", $588 ," $63,313 ","3,612",,
LINCOLN, 307 ," $1,750 ", $666 , $- , $68 , $- , $- , $3 ," $1,014 ",97,,
LINN, 824 ," $6,650 "," $3,514 ", $- , $103 , $- , $- , $49 ," $2,984 ",306,,
LOGAN, 228 , $823 , $495 , $- , $13 , $- , $- , $2 , $313 ,69,,
LYON," 2,275 "," $12,806 "," $6,324 ", $- , $763 , $- , $- , $124 ," $5,596 ",637,,
MCPHERSON," 2,021 "," $8,776 "," $3,793 ", $- , $532 , $- , $- , $164 ," $4,287 ",483,,
MARION, 804 ," $4,609 "," $2,010 ", $- , $222 , $- , $- , $58 ," $2,320 ",219,,
MARSHALL, 981 ," $4,582 "," $2,467 ", $- , $177 , $- , $- , $17 ," $1,920 ",275,,
MEADE, 283 ," $1,240 ", $534 , $- , $31 , $- , $- , $11 , $663 ,82,,
MIAMI," 2,442 "," $11,531 "," $5,967 ", $- , $530 , $- , $- , $124 ," $4,911 ",712,,
MITCHELL, 490 ," $1,883 ", $880 , $- , $77 , $- , $- , $68 , $858 ,140,,
MONTGOMERY," 2,950 "," $13,310 "," $7,429 ", $- , $518 , $- , $- , $238 ," $5,126 ",684,,
MORRIS, 594 ," $4,916 "," $2,663 ", $- , $338 , $- , $- , $49 ," $1,866 ",201,,
MORTON, 176 , $746 , $396 , $- , $- , $- , $- , $194 , $156 ,29,,
NEMAHA, 802 ," $3,301 "," $1,590 ", $- , $75 , $- , $- , $119 ," $1,518 ",208,,
NEOSHO," 1,296 "," $6,887 "," $3,234 ", $- , $264 , $- , $- , $49 ," $3,340 ",355,,
NESS, 261 , $852 , $389 , $- , $27 , $- , $- , $6 , $429 ,88,,
NORTON, 389 ," $1,799 "," $1,026 ", $- , $56 , $- , $- , $29 , $688 ,130,,
OSAGE," 1,535 "," $12,241 "," $5,612 ", $- , $377 , $- , $- , $74 ," $6,178 ",604,,
OSBORNE, 307 ," $1,361 ", $748 , $- , $57 , $- , $- , $15 , $542 ,87,,
OTTAWA, 476 ," $3,276 "," $1,492 ", $- , $127 , $- , $- , $148 ," $1,509 ",142,,
PAWNEE, 550 ," $2,890 "," $1,263 ", $- , $73 , $- , $- , $27 ," $1,527 ",179,,
PHILLIPS, 425 ," $2,546 "," $1,243 ", $- , $45 , $- , $- , $16 ," $1,242 ",176,,
POTTAWATOMIE," 1,622 "," $11,915 "," $5,096 ", $- , $985 , $- , $- , $70 ," $5,764 ",550,,
PRATT, 726 ," $2,398 "," $1,168 ", $- , $92 , $- , $- , $25 ," $1,113 ",145,,
RAWLINS, 236 , $565 , $247 , $- , $- , $- , $- , $103 , $215 ,52,,
RENO," 5,159 "," $26,817 "," $11,422 ", $- ," $1,221 ", $- , $- , $442 ," $13,732 ","1,455",,
REPUBLIC, 509 ," $1,923 ", $947 , $- , $71 , $- , $- , $11 , $894 ,118,,
RICE, 852 ," $3,110 "," $1,501 ", $- , $119 , $- , $- , $3 ," $1,488 ",199,,
RILEY," 5,668 "," $47,418 "," $23,546 ", $- ," $13,384 ", $- , $- , $559 ," $9,928 ","1,298",,
ROOKS, 453 ," $2,827 "," $1,326 ", $- , $76 , $- , $- , $68 ," $1,356 ",148,,
RUSH, 308 ," $1,346 ", $557 , $- , $22 , $- , $- , $3 , $764 ,137,,
RUSSELL, 648 ," $3,368 "," $1,771 ", $- , $128 , $- , $- , $68 ," $1,401 ",234,,
SALINE," 4,689 "," $26,256 "," $11,299 ", $- ," $3,177 ", $- , $- , $430 ," $11,350 ","1,439",,
SCOTT, 217 , $976 , $555 , $- , $10 , $- , $- , $2 , $410 ,80,,
SEDGWICK," 37,166 "," $251,166 "," $100,874 ", $- ," $19,467 ", $- ," $10,603 "," $2,644 "," $117,578 ","9,868",,
SEWARD," 1,131 "," $2,675 "," $1,230 ", $- , $162 , $- , $- , $8 ," $1,274 ",172,,
SHAWNEE," 15,844 "," $172,661 "," $65,355 ", $- ," $6,651 ", $- ," $3,707 "," $1,435 "," $95,513 ","5,937",,
SHERIDAN, 206 , $387 , $156 , $- , $13 , $- , $- , $8 , $210 ,57,,
SHERMAN, 595 ," $1,980 ", $998 , $- , $84 , $- , $- , $12 , $886 ,119,,
SMITH, 304 ," $2,147 "," $1,124 ", $- , $21 , $- , $- , $1 ," $1,001 ",127,,
STAFFORD, 330 ," $1,562 ", $766 , $- , $39 , $- , $- , $2 , $755 ,89,,
STANTON, 108 , $97 , $55 , $- , $- , $- , $- , $0 , $42 ,13,,
STEVENS, 298 , $628 , $283 , $- , $55 , $- , $- , $1 , $289 ,43,,
SUMNER," 2,092 "," $9,922 "," $4,872 ", $- , $415 , $- , $- , $59 ," $4,576 ",451,,
THOMAS, 457 ," $1,416 ", $736 , $- , $56 , $- , $- , $7 , $616 ,114,,
TREGO, 239 ," $2,408 ", $617 , $- , $3 , $- , $- , $2 ," $1,786 ",112,,
WABAUNSEE, 656 ," $4,956 "," $2,533 ", $- , $268 , $- , $- , $16 ," $2,139 ",229,,
WALLACE, 110 , $381 , $276 , $- , $20 , $- , $- , $0 , $85 ,28,,
WASHINGTON, 442 ," $2,149 "," $1,396 ", $- , $49 , $- , $- , $1 , $702 ,121,,
WICHITA, 141 , $335 , $245 , $- , $19 , $- , $- , $1 , $70 ,23,,
WILSON, 828 ," $3,474 "," $1,831 ", $- , $106 , $- , $- , $83 ," $1,453 ",187,,
WOODSON, 375 ," $1,474 ", $836 , $- , $4 , $- , $- , $1 , $632 ,84,,
WYANDOTTE," 9,444 "," $75,049 "," $30,827 ", $- ," $3,352 ", $- , $- , $629 ," $40,241 ","3,101",,
,,,,,,,,,,,,
KANSAS (Totals),"218,416 "," $1,415,559 "," $631,885 ", $738 ," $110,338 ", $- ," $23,747 "," $16,836 "," $632,015 ","58,852 ",,
,,,,,,,,,,,,
CONG. DIST (01)," 55,131 "," $334,232 "," $166,619 ", $- ," $38,657 ", $- , $- ," $3,971 "," $124,985 ","15,766",,
CONG. DIST (02)," 62,494 "," $501,738 "," $212,002 ", $738 ," $29,036 ", $- ," $13,144 "," $4,383 "," $242,436 ","18,920",,
CONG. DIST (03)," 45,647 "," $238,689 "," $112,394 ", $- ," $18,416 ", $- , $- ," $4,762 "," $103,118 ","10,082",,
CONG. DIST (04)," 55,144 "," $340,901 "," $140,871 ", $- ," $24,230 ", $- ," $10,603 "," $3,720 "," $161,477 ","14,084",,
,,,,,,,,,,,,
KANSAS (Totals),"218,416 "," $1,415,559 "," $631,885 ", $738 ," $110,338 ", $- ," $23,747 "," $16,836 "," $632,015 ","58,852 ",,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
