ï»¿,,,,,,,,,,,,
,,,,,,,,,,,,
Year,State,County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pensions,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**
14,PR,ADJUNTAS,,"$7,015 ","$4,485 ", $- ,$220 , $- , $- ,$0 ,"$2,310 ",289
14,PR,AGUADA,,"$11,933 ","$7,839 ", $- ,$741 , $- , $- ,$0 ,"$3,354 ",475
14,PR,AGUADILLA,,"$34,345 ","$20,955 ", $- ,"$2,338 ", $- , $- ,$134 ,"$10,917 ","1,232"
14,PR,AGUAS BUENAS,,"$7,440 ","$3,773 ", $- ,$318 , $- , $- ,$1 ,"$3,348 ",316
14,PR,AIBONITO,,"$11,985 ","$9,904 ", $- ,$565 , $- , $- ,$33 ,"$1,483 ",175
14,PR,ANASCO,,"$14,453 ","$4,697 ", $- ,$302 , $- , $- , $- ,"$9,455 ","1,112"
14,PR,ARECIBO,,"$36,264 ","$21,738 ", $- ,"$1,367 ", $- , $- ,$20 ,"$13,139 ","1,453"
14,PR,ARROYO,,"$6,491 ","$3,495 ", $- ,$300 , $- , $- ,$14 ,"$2,683 ",299
14,PR,BARCELONETA,,"$7,979 ","$4,972 ", $- ,$395 , $- , $- ,$25 ,"$2,588 ",311
14,PR,BARRANQUITAS,,"$14,481 ","$10,156 ", $- ,$464 , $- , $- ,$3 ,"$3,858 ",370
14,PR,BAYAMON,,"$124,423 ","$60,203 ","$1,420 ","$4,186 ", $- ,"$2,889 ",$266 ,"$55,460 ","3,957"
14,PR,CABO ROJO,,"$19,638 ","$11,545 ", $- ,$819 , $- , $- ,$14 ,"$7,261 ","1,002"
14,PR,CAGUAS,,"$71,139 ","$35,513 ", $- ,"$3,068 ", $- , $- ,$507 ,"$32,052 ","2,389"
14,PR,CAMUY,,"$10,855 ","$6,454 ", $- ,$546 , $- , $- ,$5 ,"$3,849 ",413
14,PR,CANOVANAS,,"$17,316 ","$8,924 ", $- ,$700 , $- , $- ,$16 ,"$7,676 ",533
