,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**,,,,
BEAVER, 349 ," $1,710 "," $1,065 ", $- , $64 , $- , $- , $1 , $580 ,81,,,,
BOX ELDER," 2,636 "," $16,769 "," $8,563 ", $- , $865 , $- , $- , $162 ," $7,179 ",660,,,,
CACHE," 3,646 "," $25,028 "," $13,100 ", $- ," $4,359 ", $- , $- , $416 ," $7,153 ",816,,,,
CARBON," 1,333 "," $10,768 "," $5,519 ", $- , $161 , $- , $- , $97 ," $4,992 ",402,,,,
DAGGETT, 89 , $841 , $290 , $- , $7 , $- , $- , $0 , $544 ,42,,,,
DAVIS," 18,997 "," $148,097 "," $86,177 ", $- ," $15,700 ", $- , $- ," $1,911 "," $44,309 ","4,449",,,,
DUCHESNE, 951 ," $7,619 "," $3,276 ", $- , $189 , $- , $- , $53 ," $4,100 ",362,,,,
EMERY, 421 ," $2,991 "," $1,515 ", $- , $54 , $- , $- , $11 ," $1,411 ",142,,,,
GARFIELD, 365 ," $1,876 "," $1,146 ", $- , $8 , $- , $- , $6 , $715 ,102,,,,
GRAND, 630 ," $4,960 "," $1,976 ", $- , $44 , $- , $- , $20 ," $2,920 ",276,,,,
IRON," 2,689 "," $39,580 "," $11,101 ", $- ," $22,587 ", $- , $- , $129 ," $5,762 ",773,,,,
JUAB, 469 ," $4,032 "," $2,126 ", $- , $239 , $- , $- , $16 ," $1,651 ",152,,,,
KANE, 617 ," $4,215 "," $2,544 ", $- , $53 , $- , $- , $22 ," $1,595 ",175,,,,
MILLARD, 618 ," $3,535 "," $1,786 ", $- , $90 , $- , $- , $53 ," $1,606 ",134,,,,
MORGAN, 561 ," $4,492 "," $2,735 ", $- , $386 , $- , $- , $63 ," $1,308 ",138,,,,
PIUTE, 148 , $603 , $442 , $- , $18 , $- , $- , $1 , $143 ,27,,,,
RICH, 142 , $608 , $319 , $- , $33 , $- , $- , $25 , $232 ,26,,,,
SALT LAKE," 44,885 "," $494,241 "," $158,853 "," $1,942 "," $29,974 ", $- ," $64,749 "," $3,466 "," $235,258 ","14,032",,,,
SAN JUAN, 592 ," $3,010 "," $1,593 ", $- , $142 , $- , $- , $54 ," $1,221 ",159,,,,
SANPETE," 1,324 "," $9,159 "," $4,618 ", $- , $381 , $- , $- , $61 ," $4,099 ",374,,,,
SEVIER," 1,406 "," $7,949 "," $4,412 ", $- , $423 , $- , $- , $27 ," $3,087 ",312,,,,
SUMMIT," 1,756 "," $7,980 "," $4,013 ", $- , $767 , $- , $- , $222 ," $2,978 ",339,,,,
TOOELE," 4,064 "," $31,275 "," $16,083 ", $- ," $1,926 ", $- , $- , $103 ," $13,163 ","1,083",,,,
UINTAH," 1,633 "," $8,593 "," $4,042 ", $- , $302 , $- , $- , $114 ," $4,136 ",485,,,,
UTAH," 17,218 "," $103,774 "," $51,284 ", $- ," $13,946 ", $- , $- ," $1,801 "," $36,743 ","3,654",,,,
WASATCH," 1,050 "," $6,281 "," $2,883 ", $- , $525 , $- , $- , $109 ," $2,765 ",251,,,,
WASHINGTON," 9,931 "," $66,623 "," $40,204 ", $- ," $5,961 ", $- , $- , $678 ," $19,780 ","2,955",,,,
WAYNE, 121 ," $1,010 ", $552 , $- , $39 , $- , $- , $2 , $417 ,35,,,,
WEBER," 17,345 "," $115,944 "," $66,960 ", $- ," $10,392 ", $- , $- , $816 ," $37,776 ","3,932",,,,
,,,,,,,,,,,,,,
UTAH (Totals),"135,988 "," $1,133,563 "," $499,178 "," $1,942 "," $109,636 ", $- ," $64,749 "," $10,436 "," $447,622 ","36,368 ",,,,
,,,,,,,,,,,,,,
CONG. DIST (01)," 42,566 "," $283,698 "," $157,864 ", $- ," $27,238 ", $- , $- ," $3,078 "," $95,519 ","10,014",,,,
CONG. DIST (02)," 37,028 "," $434,624 "," $159,289 "," $1,942 "," $45,764 ", $- ," $64,749 "," $2,754 "," $160,127 ","11,350",,,,
CONG. DIST (03)," 26,898 "," $172,333 "," $83,942 ", $- ," $17,778 ", $- , $- ," $2,398 "," $68,214 ","6,119",,,,
CONG. DIST (04)," 29,496 "," $242,909 "," $98,085 ", $- ," $18,855 ", $- , $- ," $2,206 "," $123,763 ","8,885",,,,
,,,,,,,,,,,,,,
UTAH (Totals),"135,988 "," $1,133,563 "," $499,178 "," $1,942 "," $109,636 ", $- ," $64,749 "," $10,436 "," $447,622 ","36,368 ",,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
