,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**,,,,
APPLING," 1,174 "," $7,116 "," $3,700 ", $- , $291 , $- , $- , $60 ," $3,066 ",373,,,,
ATKINSON, 427 ," $3,577 "," $1,790 ", $- , $132 , $- , $- , $3 ," $1,653 ",191,,,,
BACON, 804 ," $5,157 "," $2,950 ", $- , $93 , $- , $- , $359 ," $1,754 ",234,,,,
BAKER, 301 ," $1,149 ", $846 , $- , $21 , $- , $- , $4 , $277 ,65,,,,
BALDWIN," 4,064 "," $23,888 "," $12,099 ", $- ," $1,389 ", $- , $- , $139 ," $10,261 ",952,,,,
BANKS," 1,031 "," $6,862 "," $4,525 ", $- , $324 , $- , $- , $9 ," $2,004 ",285,,,,
BARROW," 5,771 "," $26,084 "," $14,622 ", $- ," $2,343 ", $- , $- , $244 ," $8,875 ","1,059",,,,
BARTOW," 7,815 "," $36,373 "," $23,835 ", $- ," $2,511 ", $- , $- , $234 ," $9,793 ","1,315",,,,
BEN HILL," 1,240 "," $11,383 "," $6,379 ", $- , $356 , $- , $- , $33 ," $4,616 ",428,,,,
BERRIEN," 1,493 "," $13,511 "," $7,520 ", $- ," $1,064 ", $- , $- , $40 ," $4,886 ",523,,,,
BIBB," 11,812 "," $88,686 "," $48,043 ", $- ," $7,661 ", $- , $- ," $1,202 "," $31,780 ","3,909",,,,
BLECKLEY," 1,009 "," $8,351 "," $4,024 ", $- , $516 , $- , $- , $29 ," $3,783 ",246,,,,
BRANTLEY," 1,291 "," $9,866 "," $4,970 ", $- , $401 , $- , $- , $37 ," $4,458 ",520,,,,
BROOKS," 1,390 "," $10,082 "," $4,249 ", $- , $273 , $- , $- , $83 ," $5,477 ",529,,,,
BRYAN," 3,892 "," $34,159 "," $20,870 ", $- ," $7,378 ", $- , $- , $629 ," $5,282 ",962,,,,
BULLOCH," 5,005 "," $27,418 "," $13,496 ", $- ," $3,478 ", $- , $- , $400 ," $10,044 ","1,083",,,,
BURKE," 1,787 "," $16,349 "," $7,374 ", $- , $744 , $- , $- , $216 ," $8,016 ",636,,,,
BUTTS," 2,345 "," $13,054 "," $8,747 ", $- , $701 , $- , $- , $159 ," $3,447 ",433,,,,
CALHOUN, 438 ," $2,541 "," $1,573 ", $- , $163 , $- , $- , $22 , $783 ,142,,,,
CAMDEN," 7,203 "," $47,324 "," $26,941 ", $- ," $8,130 ", $- , $- , $239 ," $12,014 ","1,830",,,,
CANDLER, 773 ," $4,947 "," $2,327 ", $- , $171 , $- , $- , $41 ," $2,408 ",233,,,,
CARROLL," 8,014 "," $55,268 "," $30,495 ", $- ," $3,851 ", $- , $- , $367 ," $20,555 ","1,913",,,,
CATOOSA," 5,251 "," $21,209 "," $12,954 ", $- ," $1,149 ", $- , $- , $211 ," $6,895 ","1,189",,,,
CHARLTON, 951 ," $6,741 "," $3,299 ", $- , $176 , $- , $- , $15 ," $3,250 ",319,,,,
CHATHAM," 27,380 "," $183,858 "," $105,511 ", $- ," $38,609 ", $- , $- ," $1,904 "," $37,834 ","6,686",,,,
CHATTAHOOCHEE," 1,309 "," $4,336 "," $2,972 ", $- , $361 , $- , $- , $5 , $998 ,189,,,,
CHATTOOGA," 1,970 "," $11,021 "," $8,124 ", $- , $404 , $- , $- , $16 ," $2,477 ",406,,,,
CHEROKEE," 17,755 "," $76,629 "," $49,541 ", $- ," $7,601 ", $- , $- ," $1,454 "," $18,033 ","2,306",,,,
CLARKE," 5,837 "," $34,776 "," $19,956 ", $- ," $3,941 ", $- , $- , $407 ," $10,473 ","1,219",,,,
CLAY, 284 ," $1,414 ", $736 , $- , $47 , $- , $- , $3 , $629 ,59,,,,
CLAYTON," 21,559 "," $146,984 "," $76,423 ", $- ," $14,457 ", $- , $- , $828 ," $55,276 ","5,963",,,,
CLINCH, 526 ," $3,156 "," $1,591 ", $- , $131 , $- , $- , $63 ," $1,371 ",152,,,,
COBB," 47,505 "," $236,785 "," $135,991 ", $148 ," $33,601 ", $- , $652 ," $3,578 "," $62,815 ","8,107",,,,
COFFEE," 2,458 "," $18,848 "," $10,141 ", $- , $803 , $- , $- , $141 ," $7,763 ",865,,,,
COLQUITT," 2,697 "," $19,724 "," $11,199 ", $- , $727 , $- , $- , $144 ," $7,653 ",871,,,,
COLUMBIA," 14,559 "," $179,014 "," $109,778 ", $- ," $27,487 ", $- , $- ," $1,384 "," $40,365 ","4,905",,,,
COOK," 1,275 "," $9,368 "," $5,333 ", $- , $386 , $- , $- , $124 ," $3,526 ",457,,,,
COWETA," 11,765 "," $57,680 "," $36,316 ", $- ," $5,195 ", $- , $- , $505 ," $15,663 ","2,209",,,,
CRAWFORD, 990 ," $4,210 "," $1,797 ", $- , $185 , $- , $- , $51 ," $2,177 ",323,,,,
