,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**,,,,
ANDERSON," 7,928 "," $34,057 "," $22,179 ", $- ," $2,454 ", $- , $- , $621 ," $8,802 ","1,537",,,,
BEDFORD," 3,249 "," $24,576 "," $10,871 ", $- , $979 , $- , $- , $38 ," $12,688 ","1,041",,,,
BENTON," 1,756 "," $12,572 "," $7,249 ", $- , $375 , $- , $- , $45 ," $4,902 ",483,,,,
BLEDSOE, 898 ," $5,337 "," $2,586 ", $- , $182 , $- , $- , $26 ," $2,543 ",288,,,,
BLOUNT," 11,883 "," $57,118 "," $40,632 ", $- ," $3,632 ", $- , $- , $441 ," $12,413 ","2,383",,,,
BRADLEY," 8,271 "," $38,053 "," $24,580 ", $- ," $2,680 ", $- , $- , $397 ," $10,397 ","1,654",,,,
CAMPBELL," 2,999 "," $30,001 "," $22,742 ", $- , $570 , $- , $- , $220 ," $6,469 ","1,018",,,,
CANNON," 1,020 "," $8,374 "," $4,402 ", $- , $244 , $- , $- , $36 ," $3,692 ",378,,,,
CARROLL," 2,956 "," $15,157 "," $9,275 ", $- , $774 , $- , $- , $75 ," $5,032 ",552,,,,
CARTER," 5,566 "," $61,202 "," $25,520 ", $- ," $1,109 ", $- , $- , $411 ," $34,162 ","2,856",,,,
CHEATHAM," 3,302 "," $22,788 "," $12,109 ", $- ," $1,776 ", $- , $- , $121 ," $8,783 ",829,,,,
CHESTER," 1,199 "," $6,088 "," $3,677 ", $- , $449 , $- , $- , $113 ," $1,849 ",271,,,,
CLAIBORNE," 2,273 "," $20,107 "," $14,129 ", $- , $728 , $- , $- , $60 ," $5,190 ",669,,,,
CLAY, 682 ," $4,163 "," $1,988 ", $- , $89 , $- , $- , $3 ," $2,083 ",202,,,,
COCKE," 3,007 "," $28,529 "," $16,490 ", $- , $570 , $- , $- , $117 ," $11,352 ","1,189",,,,
COFFEE," 4,854 "," $35,745 "," $19,610 ", $- ," $1,645 ", $- , $- , $312 ," $14,178 ","1,574",,,,
CROCKETT," 1,019 "," $5,863 "," $3,857 ", $- , $264 , $- , $- , $143 ," $1,599 ",238,,,,
CUMBERLAND," 6,724 "," $36,999 "," $20,571 ", $- , $921 , $- , $- , $327 ," $15,180 ","2,018",,,,
DAVIDSON," 37,286 "," $363,841 "," $129,775 "," $1,792 "," $30,644 ", $- ," $49,902 "," $3,441 "," $148,287 ","9,978",,,,
DECATUR," 1,040 "," $8,246 "," $4,424 ", $- , $166 , $- , $- , $56 ," $3,600 ",290,,,,
DE KALB," 1,307 "," $8,469 "," $3,834 ", $- , $300 , $- , $- , $61 ," $4,275 ",341,,,,
DICKSON," 4,497 "," $30,913 "," $16,586 ", $- ," $1,988 ", $- , $- , $213 ," $12,126 ",996,,,,
DYER," 2,817 "," $16,856 "," $10,598 ", $- , $696 , $- , $- , $393 ," $5,169 ",755,,,,
FAYETTE," 3,831 "," $14,005 "," $6,434 ", $- , $571 , $- , $- , $176 ," $6,824 ",689,,,,
FENTRESS," 1,173 "," $11,663 "," $7,515 ", $- , $171 , $- , $- , $11 ," $3,966 ",519,,,,
FRANKLIN," 3,782 "," $21,562 "," $12,603 ", $- , $790 , $- , $- , $164 ," $8,005 ","1,109",,,,
GIBSON," 4,131 "," $24,715 "," $14,854 ", $- ," $1,222 ", $- , $- , $187 ," $8,452 ",927,,,,
GILES," 2,272 "," $16,325 "," $8,830 ", $- , $764 , $- , $- , $109 ," $6,624 ",588,,,,
GRAINGER," 1,788 "," $11,668 "," $7,509 ", $- , $391 , $- , $- , $16 ," $3,751 ",526,,,,
GREENE," 6,116 "," $48,528 "," $23,832 ", $- ," $1,313 ", $- , $- , $351 ," $23,033 ","2,344",,,,
GRUNDY, 954 ," $7,337 "," $4,049 ", $- , $156 , $- , $- , $39 ," $3,092 ",330,,,,
HAMBLEN," 5,277 "," $36,761 "," $22,206 ", $- ," $1,506 ", $- , $- , $354 ," $12,695 ","1,597",,,,
HAMILTON," 25,904 "," $132,584 "," $81,110 ", $91 ," $9,906 ", $- ," $2,267 "," $1,897 "," $37,314 ","5,825",,,,
HANCOCK, 515 ," $3,684 "," $1,892 ", $- , $19 , $- , $- , $1 ," $1,772 ",128,,,,
HARDEMAN," 2,206 "," $11,513 "," $6,295 ", $- , $353 , $- , $- , $13 ," $4,852 ",450,,,,
HARDIN," 2,353 "," $14,838 "," $8,369 ", $- , $315 , $- , $- , $16 ," $6,138 ",682,,,,
HAWKINS," 5,395 "," $42,738 "," $23,312 ", $- , $878 , $- , $- , $73 ," $18,475 ","1,984",,,,
HAYWOOD," 1,092 "," $6,491 "," $3,735 ", $- , $205 , $- , $- , $10 ," $2,542 ",283,,,,
HENDERSON," 1,979 "," $11,643 "," $6,328 ", $- , $357 , $- , $- , $151 ," $4,807 ",488,,,,
HENRY," 3,303 "," $23,601 "," $15,164 ", $- ," $1,333 ", $- , $- , $60 ," $7,044 ",851,,,,
HICKMAN," 2,216 "," $13,113 "," $6,294 ", $- , $484 , $- , $- , $80 ," $6,255 ",474,,,,
HOUSTON, 914 ," $7,291 "," $4,285 ", $- , $307 , $- , $- , $50 ," $2,650 ",218,,,,
HUMPHREYS," 1,829 "," $11,545 "," $6,855 ", $- , $501 , $- , $- , $146 ," $4,042 ",404,,,,
JACKSON, 929 ," $5,727 "," $2,478 ", $- , $196 , $- , $- , $17 ," $3,037 ",336,,,,
JEFFERSON," 4,902 "," $31,525 "," $20,594 ", $- ," $1,268 ", $- , $- , $124 ," $9,539 ","1,342",,,,
JOHNSON," 1,614 "," $17,851 "," $9,274 ", $- , $193 , $- , $- , $114 ," $8,270 ",739,,,,
KNOX," 34,023 "," $171,972 "," $108,097 ", $- ," $17,435 ", $- , $191 ," $2,482 "," $43,769 ","7,031",,,,
LAKE, 526 ," $3,535 "," $1,583 ", $- , $46 , $- , $- , $13 ," $1,893 ",121,,,,
LAUDERDALE," 1,901 "," $11,664 "," $6,800 ", $- , $335 , $- , $- , $74 ," $4,455 ",487,,,,
LAWRENCE," 2,773 "," $25,254 "," $15,402 ", $- , $905 , $- , $- , $103 ," $8,845 ",836,,,,
LEWIS, 865 ," $7,051 "," $4,020 ", $- , $162 , $- , $- , $39 ," $2,829 ",332,,,,
LINCOLN," 2,921 "," $14,810 "," $9,123 ", $- , $694 , $- , $- , $175 ," $4,818 ",584,,,,
LOUDON," 5,306 "," $24,048 "," $17,357 ", $- ," $1,447 ", $- , $- , $158 ," $5,086 ",949,,,,
