,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**,,,,
KENT," 19,806 "," $115,579 "," $66,933 ", $- ," $16,441 ", $- , $- , $821 ," $31,383 ","4,010",,,,
NEW CASTLE," 34,992 "," $223,429 "," $88,225 "," $2,646 "," $15,733 ", $- ," $3,328 "," $2,512 "," $110,984 ","7,612",,,,
SUSSEX," 22,556 "," $83,270 "," $49,140 ", $- ," $4,505 ", $- , $- ," $1,139 "," $28,487 ","4,035",,,,
,,,,,,,,,,,,,,
DELAWARE (Totals),"77,354 "," $422,278 "," $204,297 "," $2,646 "," $36,680 ", $- ," $3,328 "," $4,472 "," $170,854 ","15,657 ",,,,
,,,,,,,,,,,,,,
CONG. DIST (01)," 77,354 "," $422,278 "," $204,297 "," $2,646 "," $36,680 ", $- ," $3,328 "," $4,472 "," $170,854 ","15,657",,,,
,,,,,,,,,,,,,,
DELAWARE (Totals),"77,354 "," $422,278 "," $204,297 "," $2,646 "," $36,680 ", $- ," $3,328 "," $4,472 "," $170,854 ","15,657 ",,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
